"stop_name","yearFlow","lat","long"
"台北火車站",50539565,25.047923,121.51708
"桃園火車站",23223829,24.989206,121.313545
"中壢火車站",21283170,24.9536701,121.2257837
"台南火車站",19009455,22.9971157,120.2126007
"台中火車站",18814050,24.1374957,120.6865993
"板橋火車站",15787833,25.0145999,121.4625299
"新竹火車站",15743977,24.8015795,120.9716565
"高雄火車站",15150084,22.6397615,120.302107
"樹林火車站",11953161,24.9913586,121.4244113
"松山火車站",11684249,25.0492867,121.5782716
"花蓮火車站",11055415,23.9929463,121.6011142
"彰化火車站",10618285,24.0816314,120.5384443
"嘉義火車站",7776571,23.4791187,120.4411382
"屏東火車站",7590987,22.668857,120.4859633
"基隆火車站",6744543,25.1316007,121.738378
"汐止火車站",6684157,25.068315,121.661734
"鶯歌火車站",6552524,24.9545692,121.3551469
"竹南火車站",6099705,24.6866588,120.8806937
"內壢火車站",5958663,24.972769,121.258211
"員林火車站",5741163,23.9593608,120.5696275
"豐原火車站",5447515,24.254112,120.722917
"瑞芳火車站",5321528,25.1087066,121.8060954
"斗六火車站",5101411,23.711792,120.54117
"南港火車站",5040220,25.052905,121.6070475
"新左營火車站",4990784,22.6873814,120.3074878
"苗栗火車站",4861879,24.57002,120.822343
"羅東火車站",4797811,24.677928,121.774629
"汐科火車站",4665409,25.062562,121.64665
"七堵火車站",4369223,25.0934032,121.7144569
"新營火車站",4099247,23.306731,120.323055
"楊梅火車站",3881325,24.914094,121.146051
"宜蘭火車站",3855812,24.7543117,121.758378
"埔心火車站",3817692,24.919588,121.183502
"新烏日火車站",3661658,24.1097634,120.614309
"台東火車站",3632336,22.793711,121.123161
"新豐火車站",3392899,24.870397,120.996971
"竹北火車站",3373742,24.8396572,121.0095765
"鳳山火車站",3214714,22.6317402,120.3573114
"萬華火車站",3206876,25.0333639,121.499957
"湖口火車站",2877390,24.902921,121.04379
"善化火車站",2690556,23.133323,120.30655
"蘇澳新火車站",2685337,24.6087,121.827453
"永康火車站",2489374,23.0384479,120.2534362
"大橋火車站",2444816,23.019307,120.224348
"田中火車站",2363248,23.8583717,120.5914806
"岡山火車站",2176603,22.79227,120.300019
"新市火車站",2111291,23.06819,120.290043
"新城火車站",2093993,24.1275453,121.6408721
"八堵火車站",2088526,25.108334,121.729054
"楠梓火車站",1927646,22.727035,120.32437
"太原火車站",1897222,24.1666822,120.7000794
"斗南火車站",1890235,23.6729716,120.4808406
"浮洲火車站",1822716,25.004192,121.444737
"大甲火車站",1799626,24.344513,120.627066
"百福火車站",1757065,25.077924,121.693623
"沙鹿火車站",1743780,24.237044,120.557626
"潭子火車站",1710259,24.212824,120.705571
"潮州火車站",1648486,22.5501564,120.5360314
"大慶火車站",1578248,24.1188955,120.6478694
"六家火車站",1564184,24.807527,121.0393
"大湖火車站",1490280,22.878186,120.253941
"民雄火車站",1467191,23.555243,120.431473
"后里火車站",1415198,24.309187,120.732951
"路竹火車站",1402227,22.85395,120.266266
"礁溪火車站",1388061,24.8270345,121.7753536
"沙崙火車站",1365704,22.9238933,120.2863924
"保安火車站",1362285,22.932952,120.231635
"頭城火車站",1336219,24.8589514,121.822543
"菁桐火車站",1317490,25.02388,121.723722
"山佳火車站",1310480,24.97248,121.392614
"隆田火車站",1305463,23.198991,120.316619
"大林火車站",1249653,23.6010548,120.4558295
"北新竹火車站",1198096,24.808765,120.983824
"富岡火車站",1155616,24.9345816,121.0830929
"橋頭火車站",1134548,22.76084,120.310187
"五堵火車站",1127232,25.077857,121.667629
"苑裡火車站",1069962,24.443425,120.651493
"福隆火車站",1050944,25.015921,121.94478
"新莊火車站",1047066,24.788158,121.021856
"二水火車站",954622,23.8132209,120.6180581
"後龍火車站",944787,24.615915,120.787129
"九曲堂火車站",892042,22.6564472,120.4209397
"三坑火車站",885200,25.123052,121.742016
"社頭火車站",883339,23.89571,120.5808
"玉里火車站",876336,23.3315824,121.3118016
"南科火車站",869080,23.107024,120.301923
"南澳火車站",859735,24.4633758,121.8009997
"清水火車站",833021,24.263623,120.569178
"柳營火車站",783829,23.277619,120.322519
"左營火車站",764361,22.6873814,120.3074878
"北湖火車站",749044,24.922226,121.055735
"十分火車站",726907,25.041153,121.775162
"花壇火車站",711375,24.024996,120.537399
"雙溪火車站",705135,25.038554,121.866553
"長榮火車站",703032,22.9072505,120.2721933
"枋寮火車站",697808,22.368018,120.595097
"猴硐火車站",675691,25.0870458,121.8272176
"通霄火車站",657865,24.491403,120.678424
"蘇澳火車站",606594,24.59518,121.85144
"竹中火車站",597877,24.781296,121.031296
"三義火車站",593309,24.4207887,120.7739967
"海科館火車站",572466,25.137638,121.80001
