"stop_name","lat","long"
"馬蘭火車站",22.7655144,121.1269218
"台東火車站",22.793711,121.123161
"山里火車站",22.8618526,121.1377523
"鹿野火車站",22.911272,121.136154
"瑞源火車站",22.955992,121.158964
"瑞和火車站",22.979984,121.155839
"月美火車站",23.0164374,121.1491213
"關山火車站",23.045487,121.16436
"海端火車站",23.102934,121.176829
"池上火車站",23.126321,121.21962
"富里火車站",23.17097,121.246818
"東竹火車站",23.2260299,121.2784175
"東里火車站",23.2722825,121.304029
"安通火車站",23.297176,121.33332
"玉里火車站",23.3315824,121.3118016
"三民火車站",23.424534,121.345403
"瑞穗火車站",23.497375,121.376841
"富源火車站",23.580547,121.380203
"大富火車站",23.605688,121.389624
"光復火車站",23.666293,121.421167
"萬榮火車站",23.71062,121.419593
"鳳林火車站",23.745826,121.448684
"豐田火車站",23.848475,121.496167
"壽豐火車站",23.869015,121.510632
"平和火車站",23.882774,121.520485
"志學火車站",23.906841,121.529922
"吉安火車站",23.968154,121.58267
"花蓮火車站",23.9929463,121.6011142
"北埔火車站",24.032505,121.601666
"景美火車站",24.090379,121.610931
"新城火車站",24.1275453,121.6408721
"崇德火車站",24.172134,121.655497
"和仁火車站",24.2421204,121.7118943
"和平火車站",24.298295,121.753345
"漢本火車站",24.335428,121.768354
"武塔火車站",24.448673,121.776036
"南澳火車站",24.4633758,121.8009997
"東澳火車站",24.51828,121.830704
"永樂火車站",24.568413,121.844372
"蘇澳火車站",24.59518,121.85144
"蘇澳新火車站",24.6087,121.827453
"新馬火車站",24.615395,121.8229
"冬山火車站",24.636296,121.792107
"羅東火車站",24.677928,121.774629
"中里火車站",24.694165,121.775255
"二結火車站",24.705301,121.77418
"宜蘭火車站",24.7543117,121.758378
"四城火車站",24.786801,121.762727
"礁溪火車站",24.8270345,121.7753536
"頂埔火車站",24.843896,121.80912
"頭城火車站",24.8589514,121.822543
"外澳火車站",24.8838193,121.8458461
"龜山火車站",24.904818,121.868878
"大溪火車站",24.9384234,121.8898729
"大里火車站",24.966798,121.922496
"石城火車站",24.978334,121.945191
"福隆火車站",25.015921,121.94478
"貢寮火車站",25.022062,121.908687
"雙溪火車站",25.038554,121.866553
"牡丹火車站",25.058767,121.851998
"三貂嶺火車站",25.065544,121.822558
"猴硐火車站",25.0870458,121.8272176
"瑞芳火車站",25.1087066,121.8060954
"四腳亭火車站",25.1027744,121.7619402
"暖暖火車站",25.10229,121.74032
"基隆火車站",25.1316007,121.738378
"八堵火車站",25.108334,121.729054
"七堵火車站",25.0934032,121.7144569
"五堵火車站",25.077857,121.667629
"汐止火車站",25.068315,121.661734
"南港火車站",25.052905,121.6070475
"松山火車站",25.0492867,121.5782716
"台北火車站",25.047923,121.51708
"萬華火車站",25.0333639,121.499957
"板橋火車站",25.0145999,121.4625299
"樹林火車站",24.9913586,121.4244113
"山佳火車站",24.97248,121.392614
"鶯歌火車站",24.9545692,121.3551469
"桃園火車站",24.989206,121.313545
